STT,CSDL,Ten bang DL,Ten truong DL,Ten ky thuat,Mo ta / Y nghia,Kieu du lieu,Do dai toi da,Loai khoa,Bat buoc,Cho phep trung,Danh sach gia tri,Chua DLCN,Muc do nhay cam,Chia se API,Ghi chu / Can cu phap ly
112,CSDL Giám sát bệnh truyền nhiễm,btn_o_dich_tong_hop,Tổng số tử vong,tong_so_tu_vong,,Số,,Không,Có,Không,,Không,,Không,
113,CSDL Giám sát bệnh truyền nhiễm,btn_o_dich_tong_hop,Tổng số mẫu xét nghiệm,tong_so_mau_xn,,Số,,Không,Không,Không,,Không,,Không,
114,CSDL Giám sát bệnh truyền nhiễm,btn_o_dich_tong_hop,Tổng số mẫu dương tính,tong_so_mau_duong_tinh,,Số,,Không,Không,Không,,Không,,Không,
,CSDL Giám sát bệnh truyền nhiễm,btn_bao_cao_dich_benh,--- Bang: btn_bao_cao_dich_benh ---,,,,,,,,,,,,"Điều 25, 26 TT15; Mẫu 01/02 - Phụ lục II TT15 (thông tin công khai) + Mẫu 04/05 - Phụ lục I QĐ97 (báo cáo đầy đủ)"
115,CSDL Giám sát bệnh truyền nhiễm,btn_bao_cao_dich_benh,Mã định danh,id,Khoá chính,Số,,PK,Có,Không,,Không,,Không,
116,CSDL Giám sát bệnh truyền nhiễm,btn_bao_cao_dich_benh,Ổ dịch,o_dich_id,Tham chiếu btn_o_dich,Số,,FK,Không,Không,,Không,,Không,
117,CSDL Giám sát bệnh truyền nhiễm,btn_bao_cao_dich_benh,Đơn vị,don_vi_id,Trạm Y tế cấp xã,Số,,FK,Có,Không,,Không,,Không,
118,CSDL Giám sát bệnh truyền nhiễm,btn_bao_cao_dich_benh,Loại thông tin,loai_thong_tin,,Text,10,Không,Có,Không,co_dich; het_dich,Không,,Không,
119,CSDL Giám sát bệnh truyền nhiễm,btn_bao_cao_dich_benh,Tên dịch bệnh,ten_dich_benh,,Text,300,Không,Có,Không,,Không,,Không,Điều 25.1a/2a
120,CSDL Giám sát bệnh truyền nhiễm,btn_bao_cao_dich_benh,Thời gian xác định,thoi_gian_xac_dinh,,Ngày,,Không,Có,Không,,Không,,Không,Điều 25.1b
121,CSDL Giám sát bệnh truyền nhiễm,btn_bao_cao_dich_benh,Thời gian hết dịch,thoi_gian_het_dich,,Ngày,,Không,Không,Không,,Không,,Không,Điều 25.2b
122,CSDL Giám sát bệnh truyền nhiễm,btn_bao_cao_dich_benh,Địa điểm có ổ dịch,dia_diem_o_dich,,Text,500,Không,Không,Không,,Không,,Không,Điều 25.1c
123,CSDL Giám sát bệnh truyền nhiễm,btn_bao_cao_dich_benh,Khuyến nghị,khuyen_nghi,,Text,1000,Không,Không,Không,,Không,,Không,Điều 25.1d/2c
124,CSDL Giám sát bệnh truyền nhiễm,btn_bao_cao_dich_benh,Số văn bản,so_van_ban,Số hiệu văn bản Mẫu 01/02 PL II TT15,Text,50,Không,Không,Không,,Không,,Không,
125,CSDL Giám sát bệnh truyền nhiễm,btn_bao_cao_dich_benh,Ngày ban hành,ngay_ban_hanh,Trong vòng 24 giờ kể từ khi xác định,Ngày,,Không,Có,Không,,Không,,Không,Điều 26.1b/c
126,CSDL Giám sát bệnh truyền nhiễm,btn_bao_cao_dich_benh,Người ký,nguoi_ky_id,Giám đốc Trạm Y tế cấp xã,Số,,FK,Không,Không,,Không,,Không,
127,CSDL Giám sát bệnh truyền nhiễm,btn_bao_cao_dich_benh,Nơi nhận,noi_nhan,"Chủ tịch UBND xã, CQ chuyên môn y tế tỉnh, TTKSBT tỉnh, lực lượng chuyên trách/kiêm nhiệm",Text,500,Không,Không,Không,,Không,,Không,
,CSDL Giám sát bệnh truyền nhiễm,btn_bao_cao_dich_benh_chi_tiet,--- Bang: btn_bao_cao_dich_benh_chi_tiet ---,,,,,,,,,,,,"Mẫu 04 (báo cáo dịch bệnh), Mẫu 05 (báo cáo kết thúc dịch bệnh) - Phụ lục I QĐ97 (cấu trúc I-VIII)"
128,CSDL Giám sát bệnh truyền nhiễm,btn_bao_cao_dich_benh_chi_tiet,Mã định danh,id,Khoá chính,Số,,PK,Có,Không,,Không,,Không,
129,CSDL Giám sát bệnh truyền nhiễm,btn_bao_cao_dich_benh_chi_tiet,Báo cáo dịch bệnh,bao_cao_id,Tham chiếu btn_bao_cao_dich_benh,Số,,FK,Có,Không,,Không,,Không,
130,CSDL Giám sát bệnh truyền nhiễm,btn_bao_cao_dich_benh_chi_tiet,I. Đặc điểm tình hình,dac_diem_tinh_hinh,,Text,2000,Không,Không,Không,,Không,,Không,
131,CSDL Giám sát bệnh truyền nhiễm,btn_bao_cao_dich_benh_chi_tiet,II.1 So mắc/tử vong so sánh,so_mac_tu_vong_so_sanh,"So với TB 5 năm, cùng kỳ năm trước, TB 4 tuần trước",Text,1000,Không,Không,Không,,Không,,Không,
132,CSDL Giám sát bệnh truyền nhiễm,btn_bao_cao_dich_benh_chi_tiet,II.2 Kết quả xét nghiệm,ket_qua_xet_nghiem,"Số mẫu XN, số dương tính",Text,500,Không,Không,Không,,Không,,Không,
133,CSDL Giám sát bệnh truyền nhiễm,btn_bao_cao_dich_benh_chi_tiet,II.3 Phân tích theo thời gian/địa điểm/con người,phan_tich_ttdd_con_nguoi,"Quy mô, biểu đồ dịch bệnh, kết quả đánh giá nguy cơ",Text,2000,Không,Không,Không,,Không,,Không,
134,CSDL Giám sát bệnh truyền nhiễm,btn_bao_cao_dich_benh_chi_tiet,II.4 Yếu tố trung gian/véc tơ,yeu_to_trung_gian_vec_to,,Text,500,Không,Không,Không,,Không,,Không,
135,CSDL Giám sát bệnh truyền nhiễm,btn_bao_cao_dich_benh_chi_tiet,II.5 Tình hình bệnh trên động vật,tinh_hinh_benh_dong_vat,,Text,500,Không,Không,Không,,Không,,Không,
136,CSDL Giám sát bệnh truyền nhiễm,btn_bao_cao_dich_benh_chi_tiet,III. Biện pháp đã triển khai,bien_phap_da_trien_khai,"Chỉ đạo, giám sát, truyền thông, vệ sinh môi trường, thu dung điều trị, tiêm chủng",Text,2000,Không,Không,Không,,Không,,Không,
137,CSDL Giám sát bệnh truyền nhiễm,btn_bao_cao_dich_benh_chi_tiet,IV. Huy động nguồn lực,huy_dong_nguon_luc,"Nhân lực, thiết bị/thuốc/vật tư/hoá chất, kinh phí",Text,1000,Không,Không,Không,,Không,,Không,
138,CSDL Giám sát bệnh truyền nhiễm,btn_bao_cao_dich_benh_chi_tiet,"V. Đánh giá, nhận định, dự báo",danh_gia_nhan_dinh_du_bao,,Text,1000,Không,Không,Không,,Không,,Không,
139,CSDL Giám sát bệnh truyền nhiễm,btn_bao_cao_dich_benh_chi_tiet,"VI. Khó khăn, tồn tại",kho_khan_ton_tai,,Text,1000,Không,Không,Không,,Không,,Không,
140,CSDL Giám sát bệnh truyền nhiễm,btn_bao_cao_dich_benh_chi_tiet,VII. Giải pháp thời gian tới,giai_phap_thoi_gian_toi,,Text,1000,Không,Không,Không,,Không,,Không,
141,CSDL Giám sát bệnh truyền nhiễm,btn_bao_cao_dich_benh_chi_tiet,"VIII. Đề xuất, kiến nghị",de_xuat_kien_nghi,,Text,1000,Không,Không,Không,,Không,,Không,
,CSDL Giám sát bệnh truyền nhiễm,btn_khai_bao_ca_nhan,--- Bang: btn_khai_bao_ca_nhan ---,,,,,,,,,,,,"Điều 12, 13 TT15"
142,CSDL Giám sát bệnh truyền nhiễm,btn_khai_bao_ca_nhan,Mã định danh,id,Khoá chính,Số,,PK,Có,Không,,Không,,Không,
143,CSDL Giám sát bệnh truyền nhiễm,btn_khai_bao_ca_nhan,Cá nhân,nguoi_id,Tham chiếu bảng nguoi,Số,,FK,Có,Không,,Không,,Không,
144,CSDL Giám sát bệnh truyền nhiễm,btn_khai_bao_ca_nhan,Cách thức khai báo,cach_thuc_khai_bao,,Text,20,Không,Có,Không,dien_thoai; truc_tiep; hinh_thuc_khac; ung_dung_dien_tu,Không,,Không,
145,CSDL Giám sát bệnh truyền nhiễm,btn_khai_bao_ca_nhan,Đơn vị tiếp nhận,don_vi_tiep_nhan_id,TYT xã/CSKCB/Tổ chức kiểm dịch y tế cửa khẩu,Số,,FK,Có,Không,,Không,,Không,
146,CSDL Giám sát bệnh truyền nhiễm,btn_khai_bao_ca_nhan,Tình trạng sức khoẻ,tinh_trang_suc_khoe,,Text,500,Không,Không,Không,,Có,Cao,Không,
147,CSDL Giám sát bệnh truyền nhiễm,btn_khai_bao_ca_nhan,"Tiền sử tiếp xúc, di chuyển",tien_su_tiep_xuc_di_chuyen,,Text,1000,Không,Không,Không,,Có,Cao,Không,
148,CSDL Giám sát bệnh truyền nhiễm,btn_khai_bao_ca_nhan,Ngày khai báo,ngay_khai_bao,,Ngày,,Không,Có,Không,,Không,,Không,
149,CSDL Giám sát bệnh truyền nhiễm,btn_khai_bao_ca_nhan,Kết quả xử lý,ket_qua_xu_ly,Hướng dẫn biện pháp phòng bệnh áp dụng,Text,500,Không,Không,Không,,Không,,Không,
,CSDL Giám sát bệnh truyền nhiễm,btn_danh_gia_nguy_co,--- Bang: btn_danh_gia_nguy_co ---,,,,,,,,,,,,Điều 21 TT15
150,CSDL Giám sát bệnh truyền nhiễm,btn_danh_gia_nguy_co,Mã định danh,id,Khoá chính,Số,,PK,Có,Không,,Không,,Không,
151,CSDL Giám sát bệnh truyền nhiễm,btn_danh_gia_nguy_co,Loại đánh giá,loai_danh_gia,,Text,20,Không,Có,Không,hang_nam; dot_xuat,Không,,Không,
152,CSDL Giám sát bệnh truyền nhiễm,btn_danh_gia_nguy_co,Bệnh truyền nhiễm,benh_id,Tham chiếu dm_benh_truyen_nhiem,Số,,FK,Không,Không,,Không,,Không,
153,CSDL Giám sát bệnh truyền nhiễm,btn_danh_gia_nguy_co,Đơn vị thực hiện,don_vi_id,Cơ quan chuyên môn y tế thực hiện,Số,,FK,Có,Không,,Không,,Không,
154,CSDL Giám sát bệnh truyền nhiễm,btn_danh_gia_nguy_co,Kỳ đánh giá (năm),ky_danh_gia,Áp dụng nếu hằng năm,Số,,Không,Không,Không,,Không,,Không,
155,CSDL Giám sát bệnh truyền nhiễm,btn_danh_gia_nguy_co,Ngày đánh giá,ngay_danh_gia,Áp dụng nếu đột xuất,Ngày,,Không,Không,Không,,Không,,Không,
156,CSDL Giám sát bệnh truyền nhiễm,btn_danh_gia_nguy_co,Dấu hiệu kích hoạt,dau_hieu_kich_hoat,8 dấu hiệu theo Điều 21.2 (a-h),Text,500,Không,Không,Không,,Không,,Không,
157,CSDL Giám sát bệnh truyền nhiễm,btn_danh_gia_nguy_co,Mức độ nguy cơ,muc_do_nguy_co,Chỉ áp dụng đột xuất,Text,20,Không,Không,Không,thap; trung_binh; cao; rat_cao,Không,,Không,
158,CSDL Giám sát bệnh truyền nhiễm,btn_danh_gia_nguy_co,Yếu tố gia tăng,yeu_to_gia_tang,,Text,1000,Không,Không,Không,,Không,,Không,
159,CSDL Giám sát bệnh truyền nhiễm,btn_danh_gia_nguy_co,"Năng lực, nguồn lực",nang_luc_nguon_luc,,Text,1000,Không,Không,Không,,Không,,Không,
160,CSDL Giám sát bệnh truyền nhiễm,btn_danh_gia_nguy_co,Biện pháp đề xuất,bien_phap_de_xuat,,Text,1000,Không,Không,Không,,Không,,Không,
,CSDL Giám sát bệnh truyền nhiễm,btn_canh_bao_dich_benh,--- Bang: btn_canh_bao_dich_benh ---,,,,,,,,,,,,Điều 22 TT15
161,CSDL Giám sát bệnh truyền nhiễm,btn_canh_bao_dich_benh,Mã định danh,id,Khoá chính,Số,,PK,Có,Không,,Không,,Không,
162,CSDL Giám sát bệnh truyền nhiễm,btn_canh_bao_dich_benh,Bệnh truyền nhiễm,benh_id,Tham chiếu dm_benh_truyen_nhiem,Số,,FK,Có,Không,,Không,,Không,
163,CSDL Giám sát bệnh truyền nhiễm,btn_canh_bao_dich_benh,Địa bàn (đơn vị),don_vi_dia_ban_id,Trạm Y tế cấp xã,Số,,FK,Có,Không,,Không,,Không,
164,CSDL Giám sát bệnh truyền nhiễm,btn_canh_bao_dich_benh,Điều kiện kích hoạt,dieu_kien_kich_hoat,,Text,40,Không,Có,Không,nhom_a_1_ca; nhom_bc_luu_hanh_vuot_nguong; nhom_bc_khong_luu_hanh_3ca; benh_moi_chua_ghi_nhan,Không,,Không,Điều 22.1 a-d
165,CSDL Giám sát bệnh truyền nhiễm,btn_canh_bao_dich_benh,Ngày cảnh báo,ngay_canh_bao,,Ngày,,Không,Có,Không,,Không,,Không,
166,CSDL Giám sát bệnh truyền nhiễm,btn_canh_bao_dich_benh,Nội dung nguy cơ,noi_dung_nguy_co,"Thời gian, địa điểm, phạm vi, quy mô có thể xảy ra",Text,1000,Không,Không,Không,,Không,,Không,
167,CSDL Giám sát bệnh truyền nhiễm,btn_canh_bao_dich_benh,Biện pháp phòng chống,bien_phap_phong_chong,,Text,1000,Không,Không,Không,,Không,,Không,
,CSDL Giám sát bệnh truyền nhiễm,btn_cap_do_phong_thu_dan_su,--- Bang: btn_cap_do_phong_thu_dan_su ---,,,,,,,,,,,,"Điều 17, 18, 19, 20 TT15"
168,CSDL Giám sát bệnh truyền nhiễm,btn_cap_do_phong_thu_dan_su,Mã định danh,id,Khoá chính,Số,,PK,Có,Không,,Không,,Không,
169,CSDL Giám sát bệnh truyền nhiễm,btn_cap_do_phong_thu_dan_su,Cấp độ,cap_do,,Text,20,Không,Có,Không,cap_1; cap_2; cap_3; khan_cap,Không,,Không,
170,CSDL Giám sát bệnh truyền nhiễm,btn_cap_do_phong_thu_dan_su,Địa bàn,dia_ban_id,"Xã (cấp 1)/tỉnh (cấp 2)/1-nhiều tỉnh (cấp 3, khẩn cấp)",Số,,FK,Có,Không,,Không,,Không,
171,CSDL Giám sát bệnh truyền nhiễm,btn_cap_do_phong_thu_dan_su,Bệnh truyền nhiễm,benh_id,Tham chiếu dm_benh_truyen_nhiem,Số,,FK,Không,Không,,Không,,Không,
172,CSDL Giám sát bệnh truyền nhiễm,btn_cap_do_phong_thu_dan_su,Ngày ban bố,ngay_ban_bo,,Ngày,,Không,Có,Không,,Không,,Không,
173,CSDL Giám sát bệnh truyền nhiễm,btn_cap_do_phong_thu_dan_su,Ngày bãi bỏ,ngay_bai_bo,,Ngày,,Không,Không,Không,,Không,,Không,
174,CSDL Giám sát bệnh truyền nhiễm,btn_cap_do_phong_thu_dan_su,Căn cứ tiêu chí,can_cu_tieu_chi,Ghi rõ tiêu chí đáp ứng theo Điều 17/18/19/20,Text,1000,Không,Không,Không,,Không,,Không,
,CSDL Giám sát bệnh truyền nhiễm,btn_dieu_tra_o_dich,--- Bang: btn_dieu_tra_o_dich ---,,,,,,,,,,,,Điều 23 TT15 (10 bước điều tra ổ dịch)
175,CSDL Giám sát bệnh truyền nhiễm,btn_dieu_tra_o_dich,Mã định danh,id,Khoá chính,Số,,PK,Có,Không,,Không,,Không,
176,CSDL Giám sát bệnh truyền nhiễm,btn_dieu_tra_o_dich,Ổ dịch,o_dich_id,Tham chiếu btn_o_dich,Số,,FK,Có,Không,,Không,,Không,
177,CSDL Giám sát bệnh truyền nhiễm,btn_dieu_tra_o_dich,Bước điều tra,buoc,,Text,50,Không,Có,Không,chuan_bi; xac_minh_chan_doan; khang_dinh_ton_tai; dieu_tra_phat_hien_truong_hop; mo_ta_3_yeu_to; xay_dung_gia_thuyet; danh_gia_kiem_dinh; hoan_thien_gia_thuyet; de_xuat_bien_phap; bao_cao_ket_qua,Không,,Không,
178,CSDL Giám sát bệnh truyền nhiễm,btn_dieu_tra_o_dich,Nội dung,noi_dung,,Text,2000,Không,Không,Không,,Không,,Không,
179,CSDL Giám sát bệnh truyền nhiễm,btn_dieu_tra_o_dich,Ngày thực hiện,ngay_thuc_hien,,Ngày,,Không,Có,Không,,Không,,Không,
180,CSDL Giám sát bệnh truyền nhiễm,btn_dieu_tra_o_dich,Người thực hiện,nguoi_thuc_hien_id,Tham chiếu ht_nguoi_dung,Số,,FK,Không,Không,,Không,,Không,
,CSDL Giám sát bệnh truyền nhiễm,btn_bien_phap_xu_ly_o_dich,--- Bang: btn_bien_phap_xu_ly_o_dich ---,,,,,,,,,,,,Điều 24.1 TT15 (9 nhóm biện pháp a-i)
181,CSDL Giám sát bệnh truyền nhiễm,btn_bien_phap_xu_ly_o_dich,Mã định danh,id,Khoá chính,Số,,PK,Có,Không,,Không,,Không,
182,CSDL Giám sát bệnh truyền nhiễm,btn_bien_phap_xu_ly_o_dich,Ổ dịch,o_dich_id,Tham chiếu btn_o_dich,Số,,FK,Có,Không,,Không,,Không,
183,CSDL Giám sát bệnh truyền nhiễm,btn_bien_phap_xu_ly_o_dich,Loại biện pháp,loai_bien_phap,,Text,30,Không,Có,Không,xu_ly_nguon_benh; xu_ly_duong_truyen; bao_ve_nguoi_dan; truyen_thong; khu_trung; dieu_tra_xu_ly_tu_vong; phoi_hop_lien_nganh_quoc_te; khoanh_vung_kiem_soat; ra_soat_sau_dap_ung,Không,,Không,
184,CSDL Giám sát bệnh truyền nhiễm,btn_bien_phap_xu_ly_o_dich,Ngày triển khai,ngay_trien_khai,,Ngày,,Không,Không,Không,,Không,,Không,
185,CSDL Giám sát bệnh truyền nhiễm,btn_bien_phap_xu_ly_o_dich,Mô tả,mo_ta,,Text,1000,Không,Không,Không,,Không,,Không,
,CSDL Báo cáo - thống kê dùng chung,dm_chi_tieu,--- Bang: dm_chi_tieu ---,,,,,,,,,,,,"[Đề xuất kỹ thuật] Danh mục chỉ tiêu tổng hợp báo cáo tình hình bệnh, dịch bệnh truyền nhiễm (Điều 10.3 TT15)"
186,CSDL Báo cáo - thống kê dùng chung,dm_chi_tieu,Mã định danh,id,Khoá chính,Số,,PK,Có,Không,,Không,,Không,
187,CSDL Báo cáo - thống kê dùng chung,dm_chi_tieu,Mã chỉ tiêu,ma_chi_tieu,"vd BTN_TUAN_TONG_MAC, BTN_THANG_SXH",Text,30,Không,Có,Không,,Không,,Không,
188,CSDL Báo cáo - thống kê dùng chung,dm_chi_tieu,Tên chỉ tiêu,ten_chi_tieu,Nguyên văn dòng chỉ tiêu trong mẫu báo cáo giấy,Text,500,Không,Có,Không,,Không,,Không,
189,CSDL Báo cáo - thống kê dùng chung,dm_chi_tieu,Mẫu báo cáo,mau_bao_cao,"vd PL_II_M02, PL_IV_M08",Text,20,Không,Có,Không,,Không,,Không,
190,CSDL Báo cáo - thống kê dùng chung,dm_chi_tieu,Lĩnh vực,linh_vuc,Cố định cho bệnh truyền nhiễm,Text,20,Không,Có,Không,benh_truyen_nhiem,Không,,Không,
191,CSDL Báo cáo - thống kê dùng chung,dm_chi_tieu,Đơn vị tính,don_vi_tinh,,Text,20,Không,Có,Không,nguoi; %; ca; lan...,Không,,Không,
192,CSDL Báo cáo - thống kê dùng chung,dm_chi_tieu,Công thức tính,cong_thuc,Nếu là chỉ tiêu tỷ lệ,Text,500,Không,Không,Không,,Không,,Không,
,CSDL Báo cáo - thống kê dùng chung,bc_chi_tieu_thong_ke,--- Bang: bc_chi_tieu_thong_ke ---,,,,,,,,,,,,[Đề xuất kỹ thuật] Fact-table tổng hợp số ca mắc/tử vong bệnh truyền nhiễm theo kỳ/địa bàn
193,CSDL Báo cáo - thống kê dùng chung,bc_chi_tieu_thong_ke,Mã định danh,id,Khoá chính,Số,,PK,Có,Không,,Không,,Không,
194,CSDL Báo cáo - thống kê dùng chung,bc_chi_tieu_thong_ke,Chỉ tiêu,chi_tieu_id,Tham chiếu dm_chi_tieu,Số,,FK,Có,Không,,Không,,Không,
195,CSDL Báo cáo - thống kê dùng chung,bc_chi_tieu_thong_ke,Đơn vị báo cáo,don_vi_bao_cao_id,Tham chiếu dm_don_vi,Số,,FK,Có,Không,,Không,,Không,
196,CSDL Báo cáo - thống kê dùng chung,bc_chi_tieu_thong_ke,Kỳ báo cáo,ky_bao_cao,,Text,10,Không,Có,Không,thang; 6thang; nam; 5nam; dot_xuat,Không,,Không,
197,CSDL Báo cáo - thống kê dùng chung,bc_chi_tieu_thong_ke,Năm,nam,,Số,,Không,Có,Không,,Không,,Không,
198,CSDL Báo cáo - thống kê dùng chung,bc_chi_tieu_thong_ke,Tháng,thang,NULL nếu kỳ khác tháng,Số,,Không,Không,Không,,Không,,Không,
199,CSDL Báo cáo - thống kê dùng chung,bc_chi_tieu_thong_ke,Phân tổ giới tính,phan_to_gioi_tinh,,Text,10,Không,Không,Không,nam; nu; chung,Không,,Không,
200,CSDL Báo cáo - thống kê dùng chung,bc_chi_tieu_thong_ke,Phân tổ nhóm tuổi,phan_to_nhom_tuoi,"vd 0-4, 5-15, 16-19, 20-60, >60 (thương tích) hoặc 0-59thang, 5-18, 19-59, >=60 (dinh dưỡng)",Text,20,Không,Không,Không,"vd 0-4, 5-15, 16-60, >60 (tuỳ bệnh)",Không,,Không,
201,CSDL Báo cáo - thống kê dùng chung,bc_chi_tieu_thong_ke,Phân tổ khác,phan_to_khac,"vd theo tuyến, theo bệnh, theo địa bàn",Text,100,Không,Không,Không,,Không,,Không,
202,CSDL Báo cáo - thống kê dùng chung,bc_chi_tieu_thong_ke,Giá trị số lượng,gia_tri_so_luong,,Số,,Không,Không,Không,,Không,,Không,
203,CSDL Báo cáo - thống kê dùng chung,bc_chi_tieu_thong_ke,Giá trị tỷ lệ,gia_tri_ty_le,,Số,,Không,Không,Không,,Không,,Không,
204,CSDL Báo cáo - thống kê dùng chung,bc_chi_tieu_thong_ke,Nguồn tính toán,nguon_tinh_toan,,Text,30,Không,Có,Không,tu_dong_tu_du_lieu_tac_nghiep; nhap_thu_cong,Không,,Không,
205,CSDL Báo cáo - thống kê dùng chung,bc_chi_tieu_thong_ke,Ngày chốt số liệu,ngay_chot_so_lieu,,Ngày,,Không,Có,Không,,Không,,Không,
206,CSDL Báo cáo - thống kê dùng chung,bc_chi_tieu_thong_ke,Trạng thái gửi,trang_thai_gui,,Text,20,Không,Có,Không,nhap; da_gui; da_duyet; tra_lai,Không,,Không,
,CSDL Báo cáo - thống kê dùng chung,bc_luong_bao_cao,--- Bang: bc_luong_bao_cao ---,,,,,,,,,,,,"[Đề xuất kỹ thuật] Giám sát tuân thủ thời hạn báo cáo theo Điều 10, 11, 26, 33, 40, 46, 47, 53 TT15 — phục vụ tính chỉ tiêu 'tỷ lệ đơn vị gửi đúng hạn' (Mẫu 13 PL IV mục I.1)"
207,CSDL Báo cáo - thống kê dùng chung,bc_luong_bao_cao,Mã định danh,id,Khoá chính,Số,,PK,Có,Không,,Không,,Không,
208,CSDL Báo cáo - thống kê dùng chung,bc_luong_bao_cao,Đơn vị gửi,don_vi_gui_id,Tham chiếu dm_don_vi,Số,,FK,Có,Không,,Không,,Không,
209,CSDL Báo cáo - thống kê dùng chung,bc_luong_bao_cao,Đơn vị nhận,don_vi_nhan_id,Tham chiếu dm_don_vi,Số,,FK,Có,Không,,Không,,Không,
210,CSDL Báo cáo - thống kê dùng chung,bc_luong_bao_cao,Lĩnh vực,linh_vuc,,Text,20,Không,Có,Không,benh_truyen_nhiem,Không,,Không,
211,CSDL Báo cáo - thống kê dùng chung,bc_luong_bao_cao,Kỳ báo cáo,ky_bao_cao_id,Tham chiếu dm_ky_bao_cao,Số,,FK,Có,Không,,Không,,Không,
212,CSDL Báo cáo - thống kê dùng chung,bc_luong_bao_cao,Hạn gửi,han_gui,Tính từ ngày kết thúc kỳ báo cáo + số ngày làm việc quy định,Ngày,,Không,Có,Không,,Không,,Không,
213,CSDL Báo cáo - thống kê dùng chung,bc_luong_bao_cao,Ngày gửi thực tế,ngay_gui_thuc_te,,Ngày,,Không,Không,Không,,Không,,Không,
214,CSDL Báo cáo - thống kê dùng chung,bc_luong_bao_cao,Trạng thái,trang_thai,,Text,20,Không,Có,Không,dung_han; tre_han; chua_gui,Không,,Không,
,CSDL Quản trị hệ thống & an toàn dữ liệu,ht_nguoi_dung,--- Bang: ht_nguoi_dung ---,,,,,,,,,,,,"Điều 3.3 TT15 (an toàn thông tin mạng, an ninh mạng, bảo vệ dữ liệu cá nhân)"
215,CSDL Quản trị hệ thống & an toàn dữ liệu,ht_nguoi_dung,Mã định danh,id,Khoá chính,Số,,PK,Có,Không,,Không,,Không,
216,CSDL Quản trị hệ thống & an toàn dữ liệu,ht_nguoi_dung,Họ tên,ho_ten,,Text,200,Không,Có,Không,,Không,,Không,
217,CSDL Quản trị hệ thống & an toàn dữ liệu,ht_nguoi_dung,Mã định danh (tài khoản),ma_dinh_danh,Tên đăng nhập/mã cán bộ,Text,50,Không,Có,Không,,Không,,Không,
218,CSDL Quản trị hệ thống & an toàn dữ liệu,ht_nguoi_dung,Đơn vị công tác,don_vi_id,Tham chiếu dm_don_vi,Số,,FK,Có,Không,,Không,,Không,
,CSDL Quản trị hệ thống & an toàn dữ liệu,ht_vai_tro,--- Bang: ht_vai_tro ---,,,,,,,,,,,,[Đề xuất kỹ thuật] Điều 3.3 TT15
219,CSDL Quản trị hệ thống & an toàn dữ liệu,ht_vai_tro,Mã định danh,id,Khoá chính,Số,,PK,Có,Không,,Không,,Không,
220,CSDL Quản trị hệ thống & an toàn dữ liệu,ht_vai_tro,Tên vai trò,ten_vai_tro,"vd Nhân viên TYT xã, Cán bộ TTKSBT tỉnh, Cán bộ Viện, Cán bộ Cục Phòng bệnh, Quản trị hệ thống",Text,100,Không,Có,Không,,Không,,Không,
,CSDL Quản trị hệ thống & an toàn dữ liệu,ht_phan_quyen,--- Bang: ht_phan_quyen ---,,,,,,,,,,,,[Đề xuất kỹ thuật] Phạm vi dữ liệu giới hạn theo don_vi_id và cấp quản lý trong cây dm_don_vi
221,CSDL Quản trị hệ thống & an toàn dữ liệu,ht_phan_quyen,Mã định danh,id,Khoá chính,Số,,PK,Có,Không,,Không,,Không,
222,CSDL Quản trị hệ thống & an toàn dữ liệu,ht_phan_quyen,Vai trò,vai_tro_id,Tham chiếu ht_vai_tro,Số,,FK,Có,Không,,Không,,Không,
223,CSDL Quản trị hệ thống & an toàn dữ liệu,ht_phan_quyen,Chức năng,chuc_nang,,Text,100,Không,Có,Không,,Không,,Không,
224,CSDL Quản trị hệ thống & an toàn dữ liệu,ht_phan_quyen,Mức độ,muc_do,,Text,10,Không,Có,Không,xem; nhap; sua; duyet; xuat,Không,,Không,
,CSDL Quản trị hệ thống & an toàn dữ liệu,ht_nhat_ky_truy_cap,--- Bang: ht_nhat_ky_truy_cap ---,,,,,,,,,,,,Điều 3.3 TT15 — audit log phục vụ yêu cầu an toàn/an ninh mạng và bảo vệ dữ liệu cá nhân
225,CSDL Quản trị hệ thống & an toàn dữ liệu,ht_nhat_ky_truy_cap,Mã định danh,id,Khoá chính,Số,,PK,Có,Không,,Không,,Không,
226,CSDL Quản trị hệ thống & an toàn dữ liệu,ht_nhat_ky_truy_cap,Người dùng,nguoi_dung_id,Tham chiếu ht_nguoi_dung,Số,,FK,Có,Không,,Không,,Không,
227,CSDL Quản trị hệ thống & an toàn dữ liệu,ht_nhat_ky_truy_cap,Hành động,hanh_dong,,Text,50,Không,Có,Không,,Không,,Không,
228,CSDL Quản trị hệ thống & an toàn dữ liệu,ht_nhat_ky_truy_cap,Đối tượng,doi_tuong,Bảng/bản ghi bị tác động,Text,100,Không,Có,Không,,Không,,Không,
229,CSDL Quản trị hệ thống & an toàn dữ liệu,ht_nhat_ky_truy_cap,Thời gian,thoi_gian,,Ngày,,Không,Có,Không,,Không,,Không,
230,CSDL Quản trị hệ thống & an toàn dữ liệu,ht_nhat_ky_truy_cap,Địa chỉ IP,dia_chi_ip,,Text,45,Không,Không,Không,,Có,Trung bình,Không,
